id,index,period,timestamp,minute,second,possession,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,duration,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,tactics.formation,tactics.lineup,related_events,location,player.id,player.name,position.id,position.name,pass.recipient.id,pass.recipient.name,pass.length,pass.angle,pass.height.id,pass.height.name,pass.end_location,pass.type.id,pass.type.name,pass.body_part.id,pass.body_part.name,carry.end_location,under_pressure,pass.outcome.id,pass.outcome.name,ball_receipt.outcome.id,ball_receipt.outcome.name,counterpress,duel.type.id,duel.type.name,miscontrol.aerial_won,pass.aerial_won,dribble.outcome.id,dribble.outcome.name,pass.switch,interception.outcome.id,interception.outcome.name,shot.statsbomb_xg,shot.end_location,shot.outcome.id,shot.outcome.name,shot.technique.id,shot.technique.name,shot.body_part.id,shot.body_part.name,shot.type.id,shot.type.name,shot.freeze_frame,goalkeeper.end_location,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.type.id,goalkeeper.type.name,off_camera,clearance.head,clearance.body_part.id,clearance.body_part.name,dribble.nutmeg,out,ball_recovery.recovery_failure,pass.cross,pass.xclaim,clearance.left_foot,pass.assisted_shot_id,pass.goal_assist,shot.open_goal,shot.statsbomb_xg2,shot.key_pass_id,shot.first_time,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.technique.id,goalkeeper.technique.name,pass.through_ball,pass.technique.id,pass.technique.name,pass.shot_assist,goalkeeper.body_part.id,goalkeeper.body_part.name,shot.aerial_won,duel.outcome.id,duel.outcome.name,foul_won.defensive,clearance.right_foot,pass.straight,shot.one_on_one,50_50.outcome.id,50_50.outcome.name,injury_stoppage.in_chain,dribble.no_touch,clearance.aerial_won,foul_committed.advantage,foul_won.advantage,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,pass.inswinging,foul_committed.card.id,foul_committed.card.name,bad_behaviour.card.id,bad_behaviour.card.name,pass.miscommunication,pass.cut_back,dribble.overrun,pass.outswinging
ae98c089-6b31-4ff1-a8dd-3f8a0580b21e,1104,1,00:27:29.289,27,29,54,0.021887202,0.022362603,-0.0004754011,0.008550756,0.009195558,-0.0006448021,0.0001694011,1.239385,30,Pass,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['b58eac4e-2b4d-4cd9-9baf-89332eb52f39'],"[75.5, 16.8]",62666.0,Ingrid Filippa Angeldal,13.0,Right Center Midfield,15555.0,Lauren Hemp,16.85052,-0.73502064,1.0,Ground Pass,"[88.0, 5.5]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b58eac4e-2b4d-4cd9-9baf-89332eb52f39,1105,1,00:27:30.528,27,30,54,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['ae98c089-6b31-4ff1-a8dd-3f8a0580b21e'],"[88.0, 5.5]",15555.0,Lauren Hemp,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f2d623e-a2b4-4225-acec-6ee57a76cd4a,1106,1,00:27:30.528,27,30,54,0.020157527,0.021887202,-0.0017296746,0.007819259,0.008550756,-0.0007314971,-0.0009981776,2.984221,43,Carry,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,"['2e5ae7ac-2b3d-455b-80f8-b6f8c01c7d4f', '771dd005-40f9-4266-a306-900ba1e93b6a', 'b58eac4e-2b4d-4cd9-9baf-89332eb52f39']","[88.0, 5.5]",15555.0,Lauren Hemp,21.0,Left Wing,,,,,,,,,,,,"[89.8, 3.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e5ae7ac-2b3d-455b-80f8-b6f8c01c7d4f,1107,1,00:27:32.687,27,32,54,,,,,,,,1.059764,17,Pressure,746,Manchester City WFC,1,Regular Play,968,Arsenal WFC,,,"['0f2d623e-a2b4-4225-acec-6ee57a76cd4a', '771dd005-40f9-4266-a306-900ba1e93b6a']","[31.3, 75.0]",10404.0,Noelle Maritz,7.0,Right Wing Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771dd005-40f9-4266-a306-900ba1e93b6a,1108,1,00:27:33.513,27,33,54,0.01794355,0.020157527,-0.0022139773,0.009761869,0.007819259,0.0019426104,-0.0041565876,1.88887,30,Pass,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,"['103de5ce-8a32-4375-bcb3-7081cb75f8c3', '2e5ae7ac-2b3d-455b-80f8-b6f8c01c7d4f']","[89.8, 3.5]",15555.0,Lauren Hemp,21.0,Left Wing,32210.0,Laia Aleixandri López,18.509727,-3.1091716,1.0,Ground Pass,"[71.3, 2.9]",,,38.0,Left Foot,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103de5ce-8a32-4375-bcb3-7081cb75f8c3,1109,1,00:27:35.402,27,35,54,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['771dd005-40f9-4266-a306-900ba1e93b6a'],"[71.3, 2.9]",32210.0,Laia Aleixandri López,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1fed5ab7-f1ef-4036-91f5-044fa8648816,1110,1,00:27:35.402,27,35,54,0.017935267,0.01794355,-8.2832e-06,0.009755639,0.009761869,-6.2296e-06,-2.0536e-06,1.149717,43,Carry,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,"['103de5ce-8a32-4375-bcb3-7081cb75f8c3', '94dd6843-0ae6-4633-aa64-b18799ed9a08']","[71.3, 2.9]",32210.0,Laia Aleixandri López,6.0,Left Back,,,,,,,,,,,,"[73.5, 4.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94dd6843-0ae6-4633-aa64-b18799ed9a08,1111,1,00:27:36.551,27,36,54,0.014229086,0.017935267,-0.0037061805,0.009710737,0.009755639,-4.49028e-05,-0.0036612777,1.382405,30,Pass,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['a55c7bad-e826-47d8-9bc7-2288d0d2f3b0'],"[73.5, 4.3]",32210.0,Laia Aleixandri López,6.0,Left Back,10252.0,Alex Greenwood,16.910648,-3.1061046,1.0,Ground Pass,"[56.6, 3.7]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a55c7bad-e826-47d8-9bc7-2288d0d2f3b0,1112,1,00:27:37.934,27,37,54,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['94dd6843-0ae6-4633-aa64-b18799ed9a08'],"[56.6, 3.7]",10252.0,Alex Greenwood,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9e8db60-46e1-4adf-a896-664e21b03da5,1113,1,00:27:37.934,27,37,54,0.015702162,0.014229086,0.0014730757,0.009734389,0.009710737,2.36528e-05,0.0014494229,0.522966,43,Carry,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,"['23cf4ff3-2182-43b5-82d7-7e83de74deda', 'a55c7bad-e826-47d8-9bc7-2288d0d2f3b0']","[56.6, 3.7]",10252.0,Alex Greenwood,5.0,Left Center Back,,,,,,,,,,,,"[58.4, 9.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
